date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,12586,1232,723,26419
2024-05-18,13594,1914,1361,36978
2024-06-17,17431,1625,859,51275
2024-07-17,11429,2537,1523,59124
2024-08-16,7059,2613,318,63701
2024-09-15,11624,2369,512,73029
2024-10-15,8113,1492,640,78133
2024-11-14,13104,3076,2048,86161
2024-12-14,16375,2068,1215,99082
2025-01-13,13426,2264,801,109405
2025-02-12,12614,2449,614,118931
2025-03-14,18921,2665,1542,133657
2025-04-13,13829,2561,1623,142327
2025-05-13,8591,2758,917,146908
2025-06-12,8788,1565,485,154691
2025-07-12,12730,1883,1250,164769
2025-08-11,15829,2607,781,177062
2025-09-10,15263,1582,1022,189920
