date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,20472,2447,1610,43222
2024-05-18,20454,3680,2069,58343
2024-06-17,29331,3417,905,83180
2024-07-17,22453,1292,2701,101711
2024-08-16,24326,4847,1356,120121
2024-09-15,21599,3126,1262,138164
2024-10-15,20124,4108,527,154242
2024-11-14,28051,3439,1625,177429
2024-12-14,34916,1373,2297,208220
2025-01-13,22098,3056,1491,225766
2025-02-12,15911,4474,581,236891
2025-03-14,20395,2031,1911,252566
2025-04-13,22429,1751,2084,270698
2025-05-13,19704,3657,1261,285456
2025-06-12,13803,4031,2952,293672
2025-07-12,22715,4206,590,312342
2025-08-11,26518,2793,2601,333339
2025-09-10,19665,3859,1068,348587
