date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,16609,4187,1822,30839
2024-05-18,14860,2567,1438,41918
2024-06-17,12233,3070,791,51105
2024-07-17,13509,2759,1843,59886
2024-08-16,18164,3712,1622,72893
2024-09-15,9688,1729,1864,79272
2024-10-15,19758,3042,1986,93872
2024-11-14,17243,1649,697,107948
2024-12-14,13034,3810,559,116462
2025-01-13,11327,2007,1424,124008
2025-02-12,21298,3794,209,140962
2025-03-14,16986,3453,1111,153375
2025-04-13,11898,1227,2064,161070
2025-05-13,26483,3117,1680,183043
2025-06-12,15681,2839,1244,194917
2025-07-12,16598,1715,901,208407
2025-08-11,20801,1994,378,227034
2025-09-10,23076,3157,1036,245124
