date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,27428,2752,2189,55415
2024-05-18,29783,2994,2634,80336
2024-06-17,26810,4687,2775,99484
2024-07-17,29103,4151,2285,121765
2024-08-16,27728,4820,3404,141748
2024-09-15,42395,3076,2926,178232
2024-10-15,42647,3020,1510,216050
2024-11-14,12926,3409,1577,224065
2024-12-14,29914,6719,2990,243982
2025-01-13,21369,4811,1113,260342
2025-02-12,35686,3487,788,292429
2025-03-14,26770,5839,886,312175
2025-04-13,27596,4198,1832,334052
2025-05-13,20204,3937,2304,348272
2025-06-12,32463,2584,936,377853
2025-07-12,29849,3102,3487,401170
2025-08-11,35685,4227,3908,429597
2025-09-10,25844,5472,2738,447915
