date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,9087,1827,509,15429
2024-05-18,7514,1297,247,21397
2024-06-17,6008,471,788,25970
2024-07-17,7629,1143,503,32940
2024-08-16,7108,518,489,39290
2024-09-15,8150,687,776,45096
2024-10-15,9250,604,526,53748
2024-11-14,7408,1372,708,59719
2024-12-14,9103,915,712,66432
2025-01-13,7088,1373,604,71766
2025-02-12,6809,1485,558,76300
2025-03-14,8787,573,683,83310
2025-04-13,9491,985,604,91418
2025-05-13,3722,844,800,93929
2025-06-12,7701,593,701,100692
2025-07-12,7277,1518,427,105770
2025-08-11,2725,1409,643,105603
2025-09-10,4030,765,746,107972
