date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,25328,2657,1302,39793
2024-05-18,17775,2158,921,54788
2024-06-17,16553,1653,1850,67984
2024-07-17,17852,3315,1217,81462
2024-08-16,18155,1717,1232,96730
2024-09-15,11489,4014,570,102986
2024-10-15,20058,2803,743,119801
2024-11-14,20638,2241,2384,134952
2024-12-14,17716,3145,1611,147810
2025-01-13,14001,2599,1577,157936
2025-02-12,19023,1495,1104,173890
2025-03-14,13640,3031,1256,184546
2025-04-13,15828,2309,1255,196492
2025-05-13,14879,3116,1259,206600
2025-06-12,11606,1924,1241,215637
2025-07-12,10038,2023,1273,221463
2025-08-11,11951,1751,847,230911
2025-09-10,14491,1845,1401,243017
