date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,10206,990,369,20761
2024-05-18,10567,2245,974,27475
2024-06-17,9644,934,286,35676
2024-07-17,11729,1542,360,45262
2024-08-16,9081,617,954,52658
2024-09-15,6143,731,1064,56816
2024-10-15,12220,2153,1042,65575
2024-11-14,3536,1560,1344,66190
2024-12-14,4732,1094,701,68579
2025-01-13,3381,1366,531,70949
2025-02-12,9655,1633,719,78298
2025-03-14,5527,922,1061,81946
2025-04-13,8479,1641,896,88883
2025-05-13,9801,912,720,97355
2025-06-12,11762,652,825,107192
2025-07-12,8083,1811,964,112161
2025-08-11,9046,1160,1570,118616
2025-09-10,7441,2035,1136,123781
