date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,14213,5325,2111,31372
2024-05-18,26078,5498,755,51085
2024-06-17,8308,3271,1864,54239
2024-07-17,17142,974,1869,69265
2024-08-16,17467,3525,675,82760
2024-09-15,18480,2293,1172,97579
2024-10-15,22455,1729,1395,116890
2024-11-14,14864,4915,1114,125391
2024-12-14,15483,4917,1979,133510
2025-01-13,26164,3280,1797,154425
2025-02-12,16655,3420,1304,167264
2025-03-14,13992,4648,1571,175186
2025-04-13,24765,2428,2171,193999
2025-05-13,16806,2127,868,207703
2025-06-12,22472,3794,1787,224262
2025-07-12,22386,3201,2215,241620
2025-08-11,20652,2154,1238,258606
2025-09-10,18880,3349,2079,272033
