date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,5249,952,674,13985
2024-05-18,12939,699,824,26145
2024-06-17,13587,1124,821,38071
2024-07-17,9089,1257,806,43831
2024-08-16,10143,1354,635,53008
2024-09-15,7203,1125,1211,57459
2024-10-15,7474,1236,911,62889
2024-11-14,5865,1069,535,67112
2024-12-14,9588,1481,231,75519
2025-01-13,9213,1899,808,82575
2025-02-12,9676,1883,829,89491
2025-03-14,13589,1685,842,99915
2025-04-13,5874,1426,731,103325
2025-05-13,8971,1988,874,108864
2025-06-12,8424,951,592,115539
2025-07-12,7631,756,660,121474
2025-08-11,2319,2189,976,120440
2025-09-10,8706,792,1134,128168
