date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,11243,1938,1497,24871
2024-05-18,18181,1806,1661,38754
2024-06-17,8370,3014,1130,43440
2024-07-17,14441,2108,565,55195
2024-08-16,18887,2153,1415,70841
2024-09-15,10523,2717,994,77524
2024-10-15,21480,2534,857,95645
2024-11-14,14220,3301,1143,106524
2024-12-14,9522,2090,804,112905
2025-01-13,12424,1612,1858,122570
2025-02-12,15509,1779,838,135832
2025-03-14,15148,2011,1356,148058
2025-04-13,13548,1558,568,159605
2025-05-13,21725,1331,1592,178070
2025-06-12,12421,2758,1019,186838
2025-07-12,14898,1638,1505,198563
2025-08-11,9199,1484,0,206303
2025-09-10,18684,1375,1374,222453
