date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,14966,2966,735,28837
2024-05-18,19222,2045,850,45528
2024-06-17,13170,3020,901,54698
2024-07-17,0,2080,1540,51046
2024-08-16,22432,3426,602,69711
2024-09-15,0,2393,1230,65561
2024-10-15,18970,2402,1071,80839
2024-11-14,15525,2556,1143,91249
2024-12-14,15064,1168,1105,103338
2025-01-13,9688,3176,1056,108596
2025-02-12,16810,1972,2146,121152
2025-03-14,0,2978,1921,115882
2025-04-13,13433,3206,1564,125082
2025-05-13,9868,3411,857,130778
2025-06-12,0,1591,564,127752
2025-07-12,15447,1106,689,141295
2025-08-11,5104,2834,115,143412
2025-09-10,15057,2653,1181,155643
