date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,4969,694,275,8663
2024-05-18,3816,637,366,11476
2024-06-17,3709,481,152,15193
2024-07-17,6205,839,168,20784
2024-08-16,5023,519,378,24682
2024-09-15,5528,673,209,29662
2024-10-15,5058,639,377,33670
2024-11-14,2865,569,382,35520
2024-12-14,4800,521,280,39934
2025-01-13,4221,517,444,42850
2025-02-12,3273,34,253,46490
2025-03-14,1927,409,372,46514
2025-04-13,3489,828,565,48755
2025-05-13,3073,407,337,51224
2025-06-12,5857,794,330,55790
2025-07-12,7014,725,239,61728
2025-08-11,3122,119,357,65265
2025-09-10,2369,611,235,67048
