date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,14623,2011,1544,31081
2024-05-18,12238,3229,1752,38484
2024-06-17,14056,3195,1546,47292
2024-07-17,14749,3101,1355,58127
2024-08-16,14853,1624,2368,68148
2024-09-15,14211,2663,1779,78240
2024-10-15,25625,2340,873,100543
2024-11-14,14941,2380,820,112676
2024-12-14,17746,1409,1770,126838
2025-01-13,11438,2507,442,135621
2025-02-12,4714,1600,2066,136326
2025-03-14,14163,3470,912,146488
2025-04-13,21008,2824,595,163776
2025-05-13,27258,2037,2754,187097
2025-06-12,18348,2677,1072,201652
2025-07-12,13444,2384,635,211370
2025-08-11,21523,1126,1731,229089
2025-09-10,18797,2267,1943,243511
