date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,8249,1443,554,16110
2024-05-18,6722,1308,448,21668
2024-06-17,6865,1474,338,27111
2024-07-17,6107,1313,891,30915
2024-08-16,5981,1407,441,34846
2024-09-15,8587,1755,650,41039
2024-10-15,9537,1228,797,49090
2024-11-14,7393,0,446,56641
2024-12-14,7985,1071,926,62579
2025-01-13,3840,601,745,65040
2025-02-12,10981,912,569,74098
2025-03-14,7004,446,551,80080
2025-04-13,7778,2073,1087,84323
2025-05-13,3938,1168,735,85928
2025-06-12,6420,1845,582,90252
2025-07-12,6180,1185,562,94348
2025-08-11,10378,648,716,103185
2025-09-10,8888,1070,853,109681
