date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,6074,416,16,10299
2024-05-18,0,991,172,9384
2024-06-17,0,578,637,7418
2024-07-17,4253,693,450,10576
2024-08-16,4308,521,352,13840
2024-09-15,4621,526,365,17556
2024-10-15,5126,589,107,22616
2024-11-14,3094,469,248,25680
2024-12-14,0,1227,446,24118
2025-01-13,3945,657,382,27346
2025-02-12,4555,617,296,30913
2025-03-14,3805,826,391,32031
2025-04-13,4655,638,317,35537
2025-05-13,5124,789,227,39848
2025-06-12,3028,324,244,42739
2025-07-12,4953,702,407,46841
2025-08-11,0,686,416,46116
2025-09-10,5188,741,362,50736
