date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,25834,6473,1718,47084
2024-05-18,27156,4113,2875,66624
2024-06-17,29379,4458,1881,89833
2024-07-17,31230,4809,1135,115529
2024-08-16,24436,3816,2041,134033
2024-09-15,32237,3621,1152,161301
2024-10-15,25947,5252,2436,179135
2024-11-14,40269,4054,2937,212338
2024-12-14,28149,4768,2894,233353
2025-01-13,30253,3334,1561,258877
2025-02-12,30632,3449,2780,284006
2025-03-14,19148,2686,1882,298739
2025-04-13,21580,5405,2303,312630
2025-05-13,15921,2091,2196,323198
2025-06-12,31125,3529,4403,347544
2025-07-12,23711,3593,2728,365785
2025-08-11,14666,1507,1523,377712
2025-09-10,27923,5054,1093,398330
