date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,11943,1724,875,21790
2024-05-18,9773,2066,903,28868
2024-06-17,14098,1837,239,41025
2024-07-17,0,2572,983,37172
2024-08-16,12210,1652,304,47857
2024-09-15,9611,2364,815,55008
2024-10-15,11832,2125,697,64194
2024-11-14,6080,1536,379,67788
2024-12-14,8313,1957,808,73351
2025-01-13,10229,2182,856,80666
2025-02-12,9171,2219,1248,86352
2025-03-14,9133,740,576,93086
2025-04-13,8260,1795,839,99873
2025-05-13,9703,1364,1196,106053
2025-06-12,0,1959,792,103216
2025-07-12,8190,1732,596,109114
2025-08-11,7598,1506,1505,113489
2025-09-10,10343,1496,911,121659
