date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,26824,7686,1350,51146
2024-05-18,19334,5522,3651,62141
2024-06-17,36495,3915,1929,91957
2024-07-17,42168,4847,1823,128119
2024-08-16,21149,4759,2090,142738
2024-09-15,27500,2164,2298,166300
2024-10-15,27740,5274,1359,187394
2024-11-14,23582,5235,2262,203824
2024-12-14,35544,5158,2464,231247
2025-01-13,27925,3446,1947,253592
2025-02-12,21098,1456,1675,271655
2025-03-14,18526,4213,3828,282651
2025-04-13,39427,4738,3214,313765
2025-05-13,23443,364,3230,334384
2025-06-12,24080,3836,1603,353216
2025-07-12,35804,1756,2578,384548
2025-08-11,28737,4833,2077,406324
2025-09-10,26450,5547,2586,424751
