date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,5505,517,429,9627
2024-05-18,4428,544,166,13602
2024-06-17,3165,1036,388,15053
2024-07-17,3388,581,291,18127
2024-08-16,4186,453,546,21338
2024-09-15,4768,478,363,25420
2024-10-15,2110,1003,474,25855
2024-11-14,2897,669,330,27930
2024-12-14,4191,701,493,31211
2025-01-13,2950,872,516,34349
2025-02-12,2876,648,70,36783
2025-03-14,3451,984,227,38179
2025-04-13,3528,204,410,40061
2025-05-13,4028,184,281,44445
2025-06-12,4360,427,316,48071
2025-07-12,4472,326,391,50474
2025-08-11,3370,502,395,52958
2025-09-10,2594,403,343,54767
