date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,23672,2403,334,40945
2024-05-18,24580,4087,1424,59129
2024-06-17,12561,1186,520,70997
2024-07-17,26131,1620,1375,93491
2024-08-16,17183,4001,1938,105139
2024-09-15,16411,3675,1714,116362
2024-10-15,16751,2861,1529,128453
2024-11-14,13907,1727,897,139642
2024-12-14,15728,2051,1020,152444
2025-01-13,23189,2577,1340,171249
2025-02-12,16287,3613,1916,182490
2025-03-14,21284,2964,1587,199345
2025-04-13,15451,2659,1491,210962
2025-05-13,17681,4402,753,223865
2025-06-12,17071,2589,959,237897
2025-07-12,20064,3306,1467,253026
2025-08-11,16961,2961,342,267120
2025-09-10,27711,3001,1234,290516
