date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,10777,2470,1891,20385
2024-05-18,16150,1917,1502,33478
2024-06-17,12541,2322,842,42468
2024-07-17,14857,1331,1226,54783
2024-08-16,5159,1498,1112,57129
2024-09-15,4488,2668,1051,58119
2024-10-15,10891,2181,1668,64794
2024-11-14,17501,2099,666,80636
2024-12-14,13562,2270,888,90642
2025-01-13,12871,2829,873,99798
2025-02-12,16850,1667,1177,114242
2025-03-14,11745,2044,1233,122510
2025-04-13,14872,1515,738,134366
2025-05-13,10798,1349,839,143281
2025-06-12,7023,633,710,149191
2025-07-12,13245,1380,1421,159306
2025-08-11,13781,1628,666,170491
2025-09-10,14619,2075,1347,181868
