date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,18805,2529,1713,37890
2024-05-18,0,2266,2240,32796
2024-06-17,21829,4068,1837,48619
2024-07-17,16888,3926,725,60371
2024-08-16,17524,4122,1778,71511
2024-09-15,17948,2321,1142,86485
2024-10-15,12785,4483,2040,93292
2024-11-14,17206,2772,720,106744
2024-12-14,0,4179,910,101473
2025-01-13,18722,1560,1901,116373
2025-02-12,18507,2478,1095,131304
2025-03-14,0,2556,1131,127776
2025-04-13,0,3054,2138,121889
2025-05-13,20225,1851,694,139200
2025-06-12,25255,3842,1698,158149
2025-07-12,18503,3212,1659,170860
2025-08-11,15127,2856,1869,180164
2025-09-10,18669,3057,2052,194070
