date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,4548,794,355,7813
2024-05-18,5898,617,195,13327
2024-06-17,4398,678,268,17004
2024-07-17,3738,711,91,19724
2024-08-16,5722,446,247,24530
2024-09-15,2785,158,292,26932
2024-10-15,3947,571,325,30494
2024-11-14,3809,485,286,33821
2024-12-14,5412,474,331,38597
2025-01-13,3007,604,144,39972
2025-02-12,4366,523,344,43463
2025-03-14,3023,590,172,46419
2025-04-13,2644,560,194,48594
2025-05-13,3668,496,422,51358
2025-06-12,4516,403,151,55373
2025-07-12,3681,725,310,58121
2025-08-11,2376,977,300,59568
2025-09-10,3163,661,163,62133
