date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,19951,4123,1684,39178
2024-05-18,21166,5044,2518,52751
2024-06-17,26548,2824,619,75394
2024-07-17,29826,2923,1559,100589
2024-08-16,31656,4960,3143,124063
2024-09-15,23032,1590,2666,142256
2024-10-15,22609,2040,1336,161071
2024-11-14,18187,2638,1362,175674
2024-12-14,15523,3453,2499,184989
2025-01-13,17597,2969,2474,197240
2025-02-12,18598,3735,1006,211437
2025-03-14,23637,2886,1176,230569
2025-04-13,24314,4534,1305,249273
2025-05-13,10256,2590,1695,254790
2025-06-12,16425,2500,1903,266719
2025-07-12,9446,942,1325,274126
2025-08-11,6715,2681,1377,277477
2025-09-10,19382,3627,1806,290361
