date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,4763,794,306,9071
2024-05-18,4254,818,463,11499
2024-06-17,0,563,336,10663
2024-07-17,4086,904,156,12828
2024-08-16,2066,813,227,13920
2024-09-15,3885,422,422,16898
2024-10-15,3762,646,406,19129
2024-11-14,4872,889,148,23103
2024-12-14,3695,739,174,26699
2025-01-13,2392,551,372,27825
2025-02-12,3156,644,329,30010
2025-03-14,4858,521,358,33736
2025-04-13,3150,543,260,35859
2025-05-13,5165,549,240,40249
2025-06-12,0,362,284,39434
2025-07-12,0,745,336,38966
2025-08-11,0,955,264,37363
2025-09-10,4547,872,154,40786
