date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,18912,1744,1957,39588
2024-05-18,17692,2523,1754,52785
2024-06-17,19617,5086,1447,65690
2024-07-17,16717,3734,1487,76862
2024-08-16,26536,4407,1236,96822
2024-09-15,24971,2309,2068,116431
2024-10-15,24398,1784,2033,137019
2024-11-14,15189,2586,2006,147668
2024-12-14,22861,4963,659,165715
2025-01-13,20467,2095,799,183194
2025-02-12,24543,2864,2500,201648
2025-03-14,19886,1742,1813,218422
2025-04-13,17848,394,1714,234380
2025-05-13,21963,4224,954,251505
2025-06-12,25893,1218,1787,274141
2025-07-12,19540,3338,1304,288702
2025-08-11,20117,1907,945,306306
2025-09-10,14218,3656,1872,314134
