date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,13808,2376,1090,29622
2024-05-18,10967,2793,830,37276
2024-06-17,15161,2062,844,49353
2024-07-17,17993,3194,1513,63320
2024-08-16,25824,2113,1166,85145
2024-09-15,20499,3395,852,101705
2024-10-15,20603,2548,1665,118182
2024-11-14,10991,3198,1891,124451
2024-12-14,12027,1776,728,134358
2025-01-13,20806,2704,1709,150318
2025-02-12,16373,1287,898,164945
2025-03-14,14850,3324,1518,176320
2025-04-13,16167,1258,1247,189501
2025-05-13,19656,2402,1198,205495
2025-06-12,18720,2012,1632,221093
2025-07-12,14445,1638,1020,233235
2025-08-11,16162,2867,2099,244546
2025-09-10,12602,3204,1288,253092
