date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,25551,3315,2423,48899
2024-05-18,26690,4317,1236,70197
2024-06-17,31413,4178,1174,96234
2024-07-17,26182,2684,939,118635
2024-08-16,19504,3573,772,134076
2024-09-15,20140,4782,1716,147706
2024-10-15,22902,2767,3690,163904
2024-11-14,30063,2281,2182,189743
2024-12-14,23793,2907,1725,208703
2025-01-13,38312,3563,2291,242051
2025-02-12,18693,3635,1721,255345
2025-03-14,22866,2714,2055,272911
2025-04-13,29855,4336,1560,296648
2025-05-13,25586,2634,3216,316562
2025-06-12,26291,4406,1498,337493
2025-07-12,24623,4727,1772,356275
2025-08-11,26339,6202,1649,374865
2025-09-10,17764,2957,2359,387877
