date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,8010,777,449,14603
2024-05-18,6773,1087,81,20158
2024-06-17,7188,1250,826,25695
2024-07-17,6010,805,692,29935
2024-08-16,4929,1911,502,32138
2024-09-15,3215,1369,358,33640
2024-10-15,8836,721,586,41930
2024-11-14,2744,778,376,43427
2024-12-14,7029,689,429,48952
2025-01-13,6490,1144,763,54062
2025-02-12,8276,756,568,62201
2025-03-14,8918,910,906,69109
2025-04-13,5925,1563,289,72226
2025-05-13,8788,1076,596,79162
2025-06-12,6689,904,435,84322
2025-07-12,6378,772,452,88225
2025-08-11,8331,1205,550,94919
2025-09-10,7600,809,455,101519
