date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,4504,773,175,8189
2024-05-18,0,469,531,7391
2024-06-17,2739,783,574,9289
2024-07-17,2480,503,472,10441
2024-08-16,0,754,208,9450
2024-09-15,758,395,289,8901
2024-10-15,5632,313,267,14018
2024-11-14,5441,312,459,18693
2024-12-14,3018,692,343,20376
2025-01-13,4069,522,333,23921
2025-02-12,0,352,575,22018
2025-03-14,3848,717,353,24485
2025-04-13,3791,501,249,27950
2025-05-13,0,461,427,27215
2025-06-12,4812,725,220,30802
2025-07-12,4747,722,317,34568
2025-08-11,5277,481,385,38878
2025-09-10,3782,819,419,41828
