date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,14548,839,978,27181
2024-05-18,10501,1911,679,34900
2024-06-17,15702,1520,1318,47200
2024-07-17,14207,2786,73,58150
2024-08-16,14355,1754,1143,69307
2024-09-15,12817,1784,1443,79024
2024-10-15,13604,1623,820,89969
2024-11-14,13783,1617,1112,102060
2024-12-14,15278,1677,1455,114002
2025-01-13,6153,1249,299,118432
2025-02-12,12603,2933,1126,126867
2025-03-14,15147,494,1092,140813
2025-04-13,7908,2599,1131,144784
2025-05-13,14530,3306,1072,155060
2025-06-12,11105,1348,1316,163073
2025-07-12,12770,1582,1183,173244
2025-08-11,15800,1561,902,186092
2025-09-10,11152,2118,1288,193377
