date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,0,868,538,7590
2024-05-18,7783,1162,698,13934
2024-06-17,8239,1295,244,20659
2024-07-17,8402,1398,444,26890
2024-08-16,0,1326,832,24529
2024-09-15,9206,1171,572,31887
2024-10-15,8903,1247,1112,38005
2024-11-14,0,926,404,36670
2024-12-14,7760,2220,558,41087
2025-01-13,8015,347,579,48184
2025-02-12,8993,1490,486,55126
2025-03-14,6065,702,669,59184
2025-04-13,6725,752,723,65334
2025-05-13,5061,430,572,69400
2025-06-12,7913,958,555,75983
2025-07-12,9454,392,517,84634
2025-08-11,5781,1774,457,88164
2025-09-10,0,903,184,86863
