date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,7399,1347,956,15365
2024-05-18,12328,1568,991,24806
2024-06-17,10843,852,953,33929
2024-07-17,10170,815,474,43108
2024-08-16,6816,1547,348,48453
2024-09-15,6181,1586,882,51818
2024-10-15,10235,1456,570,59523
2024-11-14,4550,1496,295,62329
2024-12-14,8346,1643,633,68235
2025-01-13,10569,1489,799,76750
2025-02-12,5504,1678,878,79190
2025-03-14,8389,1322,678,85745
2025-04-13,12132,1823,363,96002
2025-05-13,11903,1513,1007,106391
2025-06-12,11221,1451,994,115239
2025-07-12,8988,1183,1133,121502
2025-08-11,12357,1563,339,132140
2025-09-10,4244,1619,952,133517
