date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,11015,1011,771,22418
2024-05-18,11066,2579,1037,29801
2024-06-17,8991,1783,576,36522
2024-07-17,12251,1519,667,45495
2024-08-16,14043,1858,1013,55887
2024-09-15,14688,1384,779,67878
2024-10-15,6042,2270,1295,70273
2024-11-14,9066,1432,759,76549
2024-12-14,10123,1721,1207,83751
2025-01-13,6617,1831,789,88433
2025-02-12,14823,2437,689,101124
2025-03-14,11879,2526,709,109619
2025-04-13,11669,1721,1284,118167
2025-05-13,14100,2037,803,129754
2025-06-12,9628,2921,0,136797
2025-07-12,6103,1514,845,141294
2025-08-11,9031,2352,487,148159
2025-09-10,9625,1678,763,155984
