date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,13909,2273,1724,28493
2024-05-18,15513,3160,1516,39097
2024-06-17,9835,2618,516,45692
2024-07-17,20481,2844,305,63124
2024-08-16,14556,1365,1424,74646
2024-09-15,13898,2470,968,85153
2024-10-15,13472,1946,1736,95490
2024-11-14,9061,2963,1929,100437
2024-12-14,17876,1536,1564,114779
2025-01-13,14462,2675,883,125110
2025-02-12,17661,3849,1855,137420
2025-03-14,19691,2877,1479,153204
2025-04-13,10407,2530,1227,159893
2025-05-13,13994,2784,877,169960
2025-06-12,13233,3056,1259,178648
2025-07-12,14342,2375,2035,187962
2025-08-11,18490,2746,846,203593
2025-09-10,17951,1971,383,219304
