date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,3498,992,655,8440
2024-05-18,7256,1082,792,13614
2024-06-17,4241,771,719,15451
2024-07-17,2823,903,390,16984
2024-08-16,7227,715,139,24379
2024-09-15,4388,567,661,27347
2024-10-15,5753,1018,657,31259
2024-11-14,8067,252,600,38055
2024-12-14,7851,918,349,44970
2025-01-13,7151,1064,287,50528
2025-02-12,5840,864,599,53898
2025-03-14,6334,792,320,58749
2025-04-13,5532,0,344,63500
2025-05-13,6624,641,429,69825
2025-06-12,7299,1140,380,75875
2025-07-12,5504,819,539,79723
2025-08-11,8028,830,576,87072
2025-09-10,7353,465,545,93840
