user_id,loan_id,loan_amount,repayment_ratio,defaulted,closed,time_since_last_loan_months
U00001,L8867,35028.74,0.84,0,1,48
U00001,L6087,82788.36,0.93,0,1,23
U00001,L1418,75981.53,0.94,0,1,22
U00001,L9895,15555.87,0.7,0,1,1
U00002,L9679,6001.06,0.74,0,1,1
U00002,L7888,51215.78,0.96,0,1,32
U00003,L5155,52457.09,0.83,0,1,6
U00003,L4475,47420.99,0.82,0,1,47
U00004,L7992,40808.14,0.68,0,1,25
U00004,L5844,41922.89,0.91,0,1,22
U00004,L4968,93922.15,0.86,0,1,15
U00004,L5920,82637.66,0.71,0,1,29
U00005,L7691,97536.35,0.93,0,1,13
U00005,L8856,59829.92,0.8,0,1,10
U00006,L8051,92388.35,0.8,0,1,11
U00007,L2875,63532.52,0.89,0,1,5
U00007,L6651,5049.26,0.93,0,1,14
U00007,L8944,32566.14,0.85,0,1,36
U00007,L9171,28263.01,0.69,0,1,21
U00009,L3696,15953.87,0.59,0,1,19
U00009,L1142,35351.65,0.94,0,1,41
U00011,L8753,17403.61,0.85,0,1,27
U00011,L1432,64309.8,0.94,0,1,42
U00012,L7997,20565.32,0.82,0,1,5
U00012,L5418,38763.27,0.9,0,1,38
U00012,L8975,47835.2,0.51,0,1,27
U00012,L7187,6527.1,0.88,0,1,35
U00013,L6195,60157.03,0.87,0,1,39
U00013,L2525,46712.95,0.83,0,1,20
U00013,L8941,97813.44,0.93,0,1,15
U00013,L7371,46404.53,0.79,0,1,14
U00013,L8228,66326.69,0.65,0,1,34
U00014,L9584,47788.06,0.68,0,1,20
U00014,L9289,76013.26,0.75,0,1,44
U00015,L6674,90800.02,0.89,0,1,24
U00015,L8416,16064.51,0.92,0,1,8
U00015,L9769,29050.7,0.75,0,1,17
U00015,L5324,96019.1,0.9,0,1,47
U00015,L7394,11129.41,0.87,0,1,28
U00016,L6245,22203.59,0.81,0,1,31
U00017,L8822,50289.42,0.82,0,1,18
U00017,L4883,46665.88,0.89,0,1,11
U00019,L4641,53220.97,0.78,0,1,33
U00020,L8280,40073.11,0.78,0,1,5
U00020,L2333,93138.43,0.44,0,1,37
U00020,L9505,49562.12,0.82,0,1,24
U00021,L9812,85592.66,0.65,0,1,15
U00021,L3078,74394.78,0.41,0,1,39
U00021,L1663,65728.8,0.88,0,1,2
U00023,L1201,35370.47,0.8,0,1,23
U00023,L2856,46624.26,0.72,0,1,25
U00024,L6969,32016.33,0.98,0,1,21
U00024,L2100,59307.0,0.75,0,1,18
U00025,L4029,32592.74,0.82,0,1,9
U00025,L8689,14799.14,0.94,0,1,9
U00026,L4838,28461.47,0.66,0,1,4
U00027,L6508,27490.82,0.72,0,1,24
U00027,L4190,88294.33,0.85,0,1,24
U00027,L8738,34808.01,0.86,0,1,38
U00028,L9875,6912.96,0.85,0,1,26
U00028,L3562,52858.07,0.74,0,1,47
U00028,L2966,61469.07,0.76,0,1,1
U00028,L9607,51558.24,0.64,0,1,32
U00028,L6328,65124.92,0.87,0,1,33
U00029,L3396,78935.41,0.88,0,1,31
U00029,L4118,49181.6,0.9,0,1,28
U00029,L5055,9503.2,0.78,0,1,31
U00029,L8465,25851.78,0.65,0,1,42
U00029,L9445,73849.83,0.71,0,1,28
U00030,L7748,7586.4,0.84,0,1,32
U00030,L9168,52808.26,0.91,0,1,21
U00030,L6488,97727.8,0.79,0,1,4
U00031,L5789,31356.93,0.82,0,1,24
U00031,L1759,47150.59,0.92,0,1,9
U00031,L7549,19922.41,0.96,0,1,40
U00031,L1445,70195.52,0.77,0,1,2
U00031,L8232,63154.62,0.71,0,1,46
U00032,L3417,43452.34,0.78,0,1,10
U00033,L9467,20042.17,0.73,0,1,19
U00033,L7321,27572.17,0.84,0,1,22
U00033,L5985,68717.56,0.59,0,1,48
U00034,L7969,52488.14,0.62,0,1,5
U00034,L8517,46997.29,0.84,0,1,14
U00035,L8246,20636.09,0.82,0,1,41
U00035,L6172,57593.5,0.9,0,1,46
U00035,L8542,68706.63,0.65,0,1,33
U00035,L9205,33895.04,0.79,0,1,32
U00036,L6167,77657.35,0.79,0,1,45
U00036,L1036,39633.8,0.96,0,1,48
U00037,L6549,63765.83,0.78,0,1,31
U00037,L3325,46550.98,0.67,0,1,14
U00037,L7077,8157.5,0.94,0,1,30
U00038,L1393,38174.07,0.64,0,1,13
U00038,L1744,43830.87,0.95,0,1,27
U00038,L8347,22258.9,0.53,0,1,9
U00038,L9761,15141.94,0.84,0,1,25
U00038,L9970,28021.54,0.91,0,1,29
U00040,L8921,87180.0,0.83,0,1,34
U00041,L4676,47730.58,0.95,0,1,36
U00041,L3549,15605.71,0.75,0,1,47
U00042,L3795,34467.09,0.92,0,1,15
U00042,L8751,14825.37,0.79,0,1,16
U00042,L1041,87725.63,0.53,0,1,28
U00042,L4149,58804.06,0.63,0,1,34
U00043,L9694,25496.33,0.96,0,1,27
